ID;Superkingdom;Kingdom;Subkingdom;Infrakingdom;Superphylum;Phylum;Subphylum;Infraphylum;Parvphylum;Superclass;Class;Subclass;Infraclass;Superorder;Order;Family;BHL;BOLD;EOL;GBIF;NCBI;GGBN;BHL_Percentile;BOLD_Percentile;EOL_Percentile;GBIF_Percentile;NCBI_Percentile;GGBN_Percentile;GGI score;Reference
Cenarchaeales-Cenarchaeaceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thaumarchaeota;;;;Cenarchaeales;Cenarchaeaceae;0;0;0;0;257;0;0;0;0;0;76;0;13;NCBI, 2013
Acidilobales-Acidilobaceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thermoprotei;;;;Acidilobales;Acidilobaceae;0;0;0;0;245;0;0;0;0;0;75;0;13;NCBI, 2013
Acidilobales-Caldisphaeraceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thermoprotei;;;;Acidilobales;Caldisphaeraceae;0;0;0;0;14;0;0;0;0;0;46;0;8;"NCBI, 2013; Garrity et al., 2007"
Desulfurococcales-Desulfurococcaceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thermoprotei;;;;Desulfurococcales;Desulfurococcaceae;0;0;0;0;727;0;0;0;0;0;84;0;14;"NCBI, 2013; Garrity et al., 2007"
Desulfurococcales-Pyrodictiaceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thermoprotei;;;;Desulfurococcales;Pyrodictiaceae;0;0;0;0;92;0;0;0;0;0;66;0;11;"NCBI, 2013; Garrity et al., 2007"
Fervidicoccales-Fervidicoccaceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thermoprotei;;;;Fervidicoccales;Fervidicoccaceae;0;0;0;0;12;0;0;0;0;0;44;0;8;"NCBI, 2013; Garrity et al., 2007"
Sulfolobales-Sulfolobaceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thermoprotei;;;;Sulfolobales;Sulfolobaceae;0;0;0;0;3783;0;0;0;0;0;91;0;16;"NCBI, 2013; Garrity et al., 2007"
Thermoproteales-Thermofilaceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thermoprotei;;;;Thermoproteales;Thermofilaceae;0;0;0;0;47;0;0;0;0;0;59;0;10;"NCBI, 2013; Garrity et al., 2007"
Thermoproteales-Thermoproteaceae;Prokaryota;Archaea;;;;Crenarchaeota;;;;;Thermoprotei;;;;Thermoproteales;Thermoproteaceae;0;0;0;0;821;0;0;0;0;0;85;0;15;"NCBI, 2013; Garrity et al., 2007"
Archaeoglobales-Archaeoglobaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Archaeoglobi;;;;Archaeoglobales;Archaeoglobaceae;0;0;0;0;714;0;0;0;0;0;84;0;14;"NCBI, 2013; Garrity et al., 2007"
Halobacteriales-Halobacteriaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Halobacteria;;;;Halobacteriales;Halobacteriaceae;0;0;0;0;31639;0;0;0;0;0;95;0;16;"NCBI, 2013; Garrity et al., 2007"
Methanobacteriales-Methanobacteriaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanobacteria;;;;Methanobacteriales;Methanobacteriaceae;0;0;0;0;16191;0;0;0;0;0;94;0;16;"NCBI, 2013; Garrity et al., 2007"
Methanobacteriales-Methanothermaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanobacteria;;;;Methanobacteriales;Methanothermaceae;0;0;0;0;44;0;0;0;0;0;59;0;10;"NCBI, 2013; Garrity et al., 2007"
Methanococcales-Methanocaldococcaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanococci;;;;Methanococcales;Methanocaldococcaceae;0;0;0;0;1319;0;0;0;0;0;87;0;15;"NCBI, 2013; Garrity et al., 2007"
Methanococcales-Methanococcaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanococci;;;;Methanococcales;Methanococcaceae;0;0;0;0;994;0;0;0;0;0;85;0;15;"NCBI, 2013; Garrity et al., 2007"
Methanocellales-Methanocellaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanomicrobia;;;;Methanocellales;Methanocellaceae;0;0;0;0;198;0;0;0;0;0;73;0;13;"NCBI, 2013; Garrity et al., 2007"
Methanomicrobiales-Methanocorpusculaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanomicrobia;;;;Methanomicrobiales;Methanocorpusculaceae;0;0;0;0;383;0;0;0;0;0;79;0;14;"NCBI, 2013; Garrity et al., 2007"
Methanomicrobiales-Methanomicrobiaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanomicrobia;;;;Methanomicrobiales;Methanomicrobiaceae;0;0;0;0;2209;0;0;0;0;0;89;0;15;"NCBI, 2013; Garrity et al., 2007"
Methanomicrobiales-Methanoregulaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanomicrobia;;;;Methanomicrobiales;Methanoregulaceae;0;0;0;0;1271;0;0;0;0;0;87;0;15;NCBI, 2013
Methanomicrobiales-Methanospirillaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanomicrobia;;;;Methanomicrobiales;Methanospirillaceae;0;0;0;0;319;0;0;0;0;0;78;0;13;"NCBI, 2013; Garrity et al., 2007"
Methanosarcinales-Methanosarcinaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanomicrobia;;;;Methanosarcinales;Methanosarcinaceae;0;0;0;0;3872;0;0;0;0;0;91;0;16;"NCBI, 2013; Garrity et al., 2007"
Methanosarcinales-Methermicoccaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanomicrobia;;;;Methanosarcinales;Methermicoccaceae;0;0;0;0;34;0;0;0;0;0;56;0;10;NCBI, 2013
Methanopyrales-Methanopyraceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Methanopyri;;;;Methanopyrales;Methanopyraceae;0;0;0;0;215;0;0;0;0;0;74;0;13;"NCBI, 2013; Garrity et al., 2007"
Thermococcales-Thermococcaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Thermococci;;;;Thermococcales;Thermococcaceae;0;0;0;0;3421;0;0;0;0;0;91;0;16;"NCBI, 2013; Garrity et al., 2007"
Thermoplasmatales-Ferroplasmaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Thermoplasmata;;;;Thermoplasmatales;Ferroplasmaceae;0;0;0;0;1260;0;0;0;0;0;87;0;15;"NCBI, 2013; Garrity et al., 2007"
Thermoplasmatales-Picrophilaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Thermoplasmata;;;;Thermoplasmatales;Picrophilaceae;0;0;0;0;341;0;0;0;0;0;78;0;13;"NCBI, 2013; Garrity et al., 2007"
Thermoplasmatales-Thermoplasmataceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Thermoplasmata;;;;Thermoplasmatales;Thermoplasmataceae;0;0;0;0;585;0;0;0;0;0;82;0;14;"NCBI, 2013; Garrity et al., 2007"
Acidobacteriales-Acidobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Acidobacteria;;;;;Acidobacteria;;;;Acidobacteriales;Acidobacteriaceae;0;0;0;0;3890;0;0;0;0;0;91;0;16;NCBI, 2013
Acanthopleuribacterales-Acanthopleuribacteraceae;Prokaryota;Bacteria;Negibacteria;;;Acidobacteria;;;;;Holophagae;;;;Acanthopleuribacterales;Acanthopleuribacteraceae;0;0;0;0;4;0;0;0;0;0;34;0;6;NCBI, 2013
Holophagales-Holophagaceae;Prokaryota;Bacteria;Negibacteria;;;Acidobacteria;;;;;Holophagae;;;;Holophagales;Holophagaceae;0;0;0;0;386;0;0;0;0;0;79;0;14;NCBI, 2013
